"title","date","link"
"Максимум самовпевненості. Джастін Бібер, SZA, Lil Nas X в рекламній кампанії Calvin Klein","28 лютого, 11:15","https://nv.ua/ukr/style/krasota-i-moda/dzhastin-biber-sza-lil-nas-x-kendall-dzhenner-znyalisya-dlya-calvin-klein-foto-50072822.html"
"На спорті. Кейт Міддлтон показала ідеальну фігуру на Олімпійському стадіоні в Лондоні","27 лютого, 11:44","https://nv.ua/ukr/style/znamenitosti/keyt-middlton-pokazala-idealnu-figuru-foto-50072612.html"
"Три дні до весни. П’ять стильних ідей для ніжного манікюру","26 лютого, 15:38","https://nv.ua/ukr/style/krasota-i-moda/manikyur-2020-vesna-p-yat-variantiv-modnogo-dizaynu-nigtiv-foto-50072453.html"
"У президентському палаці в Нью-Делі. Іванка Трамп викликала захоплення сукнею-анаркалі на прийомі в Індії","26 лютого, 14:20","https://nv.ua/ukr/style/znamenitosti/ivanka-tramp-viklikala-zahoplennya-sukneyu-anarkali-na-priyomi-v-indiji-foto-50072434.html"
"Скосило. Експерти назвали hair-тренд для стильного повсякденного образу","25 лютого, 18:56","https://nv.ua/ukr/style/krasota-i-moda/zachiski-2020-roku-eksperti-nazvali-idealniy-hair-trend-dlya-stilnogo-povsyakdennogo-obrazu-foto-50072299.html"
"На 15-сантиметрових підборах. 71-річна мама Ілона Маска взяла участь у показі Philipp Plein в Мілані","24 лютого, 18:06","https://nv.ua/ukr/style/znamenitosti/mama-ilona-maska-vzyala-uchast-u-pokazi-philipp-plein-v-milani-foto-50072066.html"
"Без жодного глядача. Giorgio Armani показав нову колекцію в порожній залі через загрозу коронавірусу","24 лютого, 16:46","https://nv.ua/ukr/style/krasota-i-moda/giorgio-armani-vidminiv-pokaz-cherez-koronavirus-foto-50072043.html"
"Класика і трохи хайпу. Найяскравіші street-style образи з Тижня моди в Мілані","24 лютого, 16:23","https://nv.ua/ukr/style/krasota-i-moda/street-style-obrazi-z-tizhnya-modi-v-milani-nayyaskravishi-50072034.html"
"Victoria’s Secret продають. Бренд оцінили в $ 1,1 млрд при капіталізації в $ 7 млрд","20 лютого, 17:01","https://nv.ua/ukr/biz/markets/victoria-s-secret-prodayut-brend-ocinili-v-1-1-mlrd-novini-svitu-50071390.html"
"Рік без Карла. 10 цитат легендарного кутюр'є Лагерфельда","19 лютого, 14:40","https://nv.ua/ukr/style/krasota-i-moda/karl-lagerfeld-richnicya-smerti-citati-50006883.html"
"Як у Русалоньки, Попелюшки і Білосніжки. Disney запускає колекцію весільних суконь, натхнених культовими мультфільмами","18 лютого, 18:00","https://nv.ua/ukr/style/krasota-i-moda/vesilni-sukni-2020-disney-vipustiv-kolekciyu-odyagu-kazkovih-princes-dlya-narechenih-ostanni-novini-50070961.html"
"До Кейт Міддлтон і Меган Маркл. Британський королівський дім нагадав у Instagram, хто був головним трендсеттером","18 лютого, 17:05","https://nv.ua/ukr/style/krasota-i-moda/princesa-anna-bula-golovnoyu-modniceyu-v-korolivskiy-rodini-foto-50070944.html"
"З усією родиною. Вікторія Бекхем влаштувала феєричний показ нової колекції у Лондоні","17 лютого, 16:54","https://nv.ua/ukr/style/krasota-i-moda/viktoriya-bekhem-pokazala-novu-kolekciyu-v-londoni-pokaz-vidvidala-vsya-sim-ya-foto-50070727.html"
"Всі відтінки червоного. Стилісти назвали наймодніший колір в манікюрі","17 лютого, 14:32","https://nv.ua/ukr/style/krasota-i-moda/vesna-2020-manikyur-nazvaniy-naymodnishiy-kolir-novogo-sezonu-ostanni-novini-50070681.html"
"Офіційно. Маріон Котійяр стала обличчям аромату Chanel N°5","17 лютого, 14:00","https://nv.ua/ukr/style/krasota-i-moda/marion-kotiyyar-stala-oblichchyam-aromatu-chanel-n05-foto-50070671.html"
"У головному відтінку року. Стилісти назвали наймодніший колір волосся весни 2020","14 лютого, 14:22","https://nv.ua/ukr/style/krasota-i-moda/modniy-kolir-volossya-vesni-2020-classic-blue-foto-50070260.html"
"Українська дизайнерка випустила до Дня Святого Валентина колекцію Koitus","14 лютого, 14:20","https://nv.ua/ukr/style/krasota-i-moda/lutiki-koitus-kolekciya-do-dnya-svyatogo-valentina-50070261.html"
"Стильний hair-образ. Іванка Трамп повернула в моду мелірування з 90-х","13 лютого, 15:21","https://nv.ua/ukr/style/znamenitosti/ivanka-tramp-povernula-v-modu-meliruvannya-z-90-h-foto-50070018.html"
