"country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","changes"
"India",2020-01-22,0,0,0,0,22,1,1182,1240,104.906937394247
"India",2020-01-23,0,0,0,0,23,1,1228,1212,98.6970684039088
"India",2020-01-24,0,0,0,0,24,1,1180,1239,105
"India",2020-01-25,0,0,0,0,25,1,1134,1225,108.024691358025
"India",2020-01-26,0,0,0,0,26,1,1222,1198,98.0360065466449
"India",2020-01-27,0,0,0,0,27,1,1180,1131,95.8474576271186
"India",2020-01-28,0,0,0,0,28,1,1118,1139,101.878354203936
"India",2020-01-29,0,0,0,0,29,1,1142,1215,106.392294220665
"India",2020-01-30,1,0,0,1,30,1,1181,1201,101.693480101609
"India",2020-01-31,1,0,0,1,31,1,1198,1237,103.255425709516
"India",2020-02-01,1,0,0,1,1,2,1210,1204,99.504132231405
"India",2020-02-02,2,0,0,2,2,2,1226,1197,97.6345840130506
"India",2020-02-03,3,0,0,3,3,2,1151,1122,97.48045178106
"India",2020-02-04,3,0,0,3,4,2,1085,1142,105.253456221198
"India",2020-02-05,3,0,0,3,5,2,1111,1193,107.380738073807
"India",2020-02-06,3,0,0,3,6,2,1124,1152,102.491103202847
"India",2020-02-07,3,0,0,3,7,2,1148,1230,107.142857142857
"India",2020-02-08,3,0,0,3,8,2,1204,1187,98.5880398671096
"India",2020-02-09,3,0,0,3,9,2,1181,1173,99.3226079593565
"India",2020-02-10,3,0,0,3,10,2,915,1126,123.060109289617
"India",2020-02-11,3,0,0,3,11,2,1316,1128,85.7142857142857
"India",2020-02-12,3,0,0,3,12,2,1104,1209,109.510869565217
"India",2020-02-13,3,0,0,3,13,2,1175,1172,99.7446808510638
"India",2020-02-14,3,0,0,3,14,2,1149,1229,106.962576153177
"India",2020-02-15,3,0,0,3,15,2,1216,1201,98.7664473684211
"India",2020-02-16,3,3,0,0,16,2,1211,1191,98.3484723369116
"India",2020-02-17,3,3,0,0,17,2,1185,1137,95.9493670886076
"India",2020-02-18,3,3,0,0,18,2,1123,1121,99.8219056099733
"India",2020-02-19,3,3,0,0,19,2,1144,1184,103.496503496503
"India",2020-02-20,3,3,0,0,20,2,1159,1164,100.431406384814
"India",2020-02-21,3,3,0,0,21,2,1182,1226,103.722504230118
"India",2020-02-22,3,3,0,0,22,2,1276,1186,92.9467084639498
"India",2020-02-23,3,3,0,0,23,2,1195,1174,98.2426778242678
